week,criminal_damage,week_as_week
2017-12-17,71,2017 W50
2017-12-24,50,2017 W51
2017-12-31,80,2017 W52
2018-01-07,46,2018 W01
2018-01-14,63,2018 W02
2018-01-21,77,2018 W03
2018-01-28,48,2018 W04
2018-02-04,49,2018 W05
2018-02-11,58,2018 W06
2018-02-18,58,2018 W07
2018-02-25,53,2018 W08
2018-03-04,57,2018 W09
2018-03-11,58,2018 W10
2018-03-18,46,2018 W11
2018-03-25,52,2018 W12
2018-04-01,57,2018 W13
2018-04-08,84,2018 W14
2018-04-15,75,2018 W15
2018-04-22,76,2018 W16
2018-04-29,62,2018 W17
2018-05-06,70,2018 W18
2018-05-13,70,2018 W19
2018-05-20,75,2018 W20
2018-05-27,69,2018 W21
2018-06-03,67,2018 W22
2018-06-10,75,2018 W23
2018-06-17,50,2018 W24
2018-06-24,68,2018 W25
2018-07-01,77,2018 W26
2018-07-08,86,2018 W27
2018-07-15,64,2018 W28
2018-07-22,66,2018 W29
2018-07-29,80,2018 W30
2018-08-05,68,2018 W31
2018-08-12,69,2018 W32
2018-08-19,58,2018 W33
2018-08-26,70,2018 W34
2018-09-02,72,2018 W35
2018-09-09,65,2018 W36
2018-09-16,63,2018 W37
2018-09-23,53,2018 W38
2018-09-30,72,2018 W39
2018-10-07,50,2018 W40
2018-10-14,59,2018 W41
2018-10-21,75,2018 W42
2018-10-28,60,2018 W43
2018-11-04,72,2018 W44
2018-11-11,48,2018 W45
2018-11-18,60,2018 W46
2018-11-25,65,2018 W47
2018-12-02,63,2018 W48
2018-12-09,52,2018 W49
2018-12-16,65,2018 W50
2018-12-23,49,2018 W51
2018-12-30,70,2018 W52
2019-01-06,57,2019 W01
2019-01-13,55,2019 W02
2019-01-20,50,2019 W03
2019-01-27,53,2019 W04
2019-02-03,58,2019 W05
2019-02-10,44,2019 W06
2019-02-17,44,2019 W07
2019-02-24,48,2019 W08
2019-03-03,65,2019 W09
2019-03-10,56,2019 W10
2019-03-17,46,2019 W11
2019-03-24,70,2019 W12
2019-03-31,55,2019 W13
2019-04-07,74,2019 W14
2019-04-14,47,2019 W15
2019-04-21,67,2019 W16
2019-04-28,61,2019 W17
2019-05-05,57,2019 W18
2019-05-12,85,2019 W19
2019-05-19,82,2019 W20
2019-05-26,83,2019 W21
2019-06-02,70,2019 W22
2019-06-09,91,2019 W23
2019-06-16,78,2019 W24
2019-06-23,66,2019 W25
2019-06-30,75,2019 W26
2019-07-07,84,2019 W27
2019-07-14,76,2019 W28
2019-07-21,61,2019 W29
2019-07-28,78,2019 W30
2019-08-04,61,2019 W31
2019-08-11,64,2019 W32
2019-08-18,71,2019 W33
2019-08-25,64,2019 W34
2019-09-01,48,2019 W35
2019-09-08,54,2019 W36
2019-09-15,49,2019 W37
2019-09-22,65,2019 W38
